team,value,revenue,income
LAKERS,447,149,22.8
KNICKS,401,160,13.5
BULLS,356,119,49
MAVERICKS,338,117,-17.7
76ERS,328,109,2
CELTICS,290,97,25.6
PISTONS,284,102,23.5
SPURS,283,105,18.5
SUNS,282,109,21.5
PACERS,280,94,10.1
ROCKETS,278,82,15.2
KINGS,275,102,-16.8
WIZARDS,274,98,28.5
TRAILBLAZERS,272,97,-85.1
CAVALIERS,258,72,3.8
RAPTORS,249,96,10.6
NETS,244,94,-1.6
JAZZ,239,85,13.8
HEAT,236,91,7.9
TIMBERWOLVES,230,85,6.9
GRIZZLIES,227,63,-19.7
NUGGETS,218,75,7.9
HORNETS,216,80,21.9
CLIPPERS,208,72,15.9
HAWKS,202,78,-8.4
MAGIC,199,80,13.1
SUPERSONICS,196,70,2.4
WARRIORS,188,70,7.8
BUCKS,174,70,-15.1
